MJD,BJD,FLUX2,CADENCENO,POS_CORR1,FLUX1,STARPOS,FLUX4,FLUX5,FLUX3,SAP_FLUX_ERR,BACKGROUND,TIME,SAP_QUALITY,POS_CORR2,SAP_FLUX
57621.27779352,57621.273378101134,1997.8200286578385,131149,-0.10789825022220612,1764.3233867514518,1097.415491305947,2193.457155169258,2209.904666866366,2153.256343897905,2209.904666866366,23.80394744873047,57621.273378101134,0,-0.006155708339065313,2209.904666866366
57621.29822712,57621.29381041713,1998.6972533477383,131150,-0.1795138120651245,1771.4251762811869,1097.4760727111793,2190.8024177947286,2206.977955526657,2151.2647835227863,2206.977955526657,23.80974578857422,57621.29381041713,0,-0.009696372784674168,2206.977955526657
57621.31866072,57621.31424273364,1996.2767486463858,131151,-0.21867410838603973,1773.3889884088326,1097.5074597691987,2185.8592626338186,2201.7943463378524,2146.996619575756,2201.7943463378524,23.8155574798584,57621.31424273364,0,-0.012380437925457954,2201.7943463378524
57621.33909442,57621.334675150676,1989.768632147653,131152,-0.254029780626297,1769.9978059244354,1097.5365783737386,2179.480706194876,2195.6712515261033,2140.4046569630036,2195.6712515261033,23.82138442993164,57621.334675150676,0,-0.015565223060548306,2195.6712515261033
57621.35952792,57621.35510736825,1983.9402044335443,131153,-0.3252382278442383,1768.311864910373,1097.5853223413808,2176.6715224563804,2193.0078681014857,2136.7988450373145,2193.0078681014857,23.827224731445312,57621.35510736825,8192,-0.018752578645944595,2193.0078681014857
57621.37996162,57621.37553978631,1991.8494984600804,131154,0.30189070105552673,1804.6472476390677,1097.0392367160891,2183.8460918946803,2202.4491937172097,2141.046023062616,2202.4491937172097,23.833078384399414,57621.37553978631,1048576,0.0033075883984565735,2202.4491937172097
57621.40039522,57621.39597210491,2016.5182159554336,131155,0.334635466337204,1848.9614394251435,1096.9954294883685,2187.369892051086,2203.365322232862,2149.659488559212,2203.365322232862,23.838947296142578,57621.39597210491,0,0.008911864832043648,2203.365322232862
57621.42082872,57621.41640432404,2012.4084309675436,131156,0.2672436535358429,1825.9345795295017,1097.048870810368,2192.9972564998743,2209.2771732823403,2153.9545990771708,2209.2771732823403,23.844829559326172,57621.41640432404,0,0.007880887016654015,2209.2771732823403
57621.44126242,57621.43683674367,2008.8888309968788,131157,0.22676658630371094,1810.9338298106036,1097.085000659721,2195.4348690546767,2212.0093393866327,2155.41452729866,2212.0093393866327,23.850727081298828,57621.43683674367,0,0.005370424594730139,2212.0093393866327
57621.46169602,57621.45726906384,2004.3780659641002,131158,0.18161530792713165,1795.4306746973043,1097.1241092828523,2196.1443063336155,2213.1157691640046,2155.313498464446,2213.1157691640046,23.85663604736328,57621.45726906384,0,0.00477910740301013,2213.1157691640046
57621.48212952,57621.47770128453,1996.1041124062249,131159,0.11757645756006241,1774.1074853816926,1097.1849466087892,2192.3627071816627,2209.254253592684,2151.243684611799,2209.254253592684,23.86256217956543,57621.47770128453,0,0.00414029648527503,2209.254253592684
57621.50256322,57621.498133705725,1994.0099304703556,131160,0.07257767766714096,1765.4727860928915,1097.2268723030336,2191.8869850175765,2208.590097329041,2150.7831874021313,2208.590097329041,23.868499755859375,57621.498133705725,0,0.0026078210212290287,2208.590097329041
57621.52299682,57621.51856602745,1995.8593464587857,131161,0.0326865129172802,1763.348508186441,1097.269745625481,2193.66281560873,2210.0901685008857,2153.008118012799,2210.0901685008857,23.874452590942383,57621.51856602745,0,0.0016725262394174933,2210.0901685008857
57621.54343032,57621.53899824971,1994.3199501188083,131162,-0.023734331130981445,1758.3963171841433,1097.3269360468698,2192.7172343648917,2209.514350539122,2151.8523133900144,2209.514350539122,23.880416870117188,57621.53899824971,0,-5.744436930399388e-05,2209.514350539122
57621.56386402,57621.55943067247,1993.6462200129781,131163,-0.06613173335790634,1757.0440886669862,1097.371999264756,2192.1700162733628,2208.969554795355,2151.2943654344253,2208.969554795355,23.886396408081055,57621.55943067247,0,-0.003388057230040431,2208.969554795355
57621.58429762,57621.579862995764,1997.5348667832793,131164,-0.10719317197799683,1764.0917580887399,1097.413244277149,2193.0595834631076,2209.5260541642856,2152.8029400274736,2209.5260541642856,23.892391204833984,57621.579862995764,0,-0.005332915112376213,2209.5260541642856
57621.604731319996,57621.60029541957,2000.6393720838355,131165,-0.17922692000865936,1773.0680909930018,1097.4765901677335,2192.554509602555,2208.718004106675,2153.1709593441765,2208.718004106675,23.89839744567871,57621.60029541957,0,-0.011734537780284882,2208.718004106675
57621.62516482,57621.620727643916,1981.9901148345707,131166,0.27072182297706604,1777.8261668487226,1097.063803675093,2184.468438038971,2202.3883250969093,2140.2241207358393,2202.3883250969093,23.9044189453125,57621.620727643916,1048576,0.0009342991397716105,2202.3883250969093
57621.64559842,57621.64115996878,2020.8046062209478,131167,0.36525577306747437,1862.4093001282913,1096.9680980372189,2186.559113499299,2202.2192403221134,2149.6771617290547,2202.2192403221134,23.910451889038086,57621.64115996878,0,0.010631434619426727,2202.2192403221134
57621.66603212,57621.66159239416,2013.2047548523847,131168,0.3041331470012665,1837.577957413248,1097.0169938368833,2187.879932347503,2203.945726928557,2149.772341182726,2203.945726928557,23.916500091552734,57621.66159239416,0,0.010704878717660904,2203.945726928557
57621.68646562,57621.682024620066,2010.8723557053913,131169,0.2683391273021698,1825.5615579621124,1097.0480844101414,2190.0034253303193,2206.2173919218735,2151.3241365325284,2206.2173919218735,23.922561645507812,57621.682024620066,0,0.005404890514910221,2206.2173919218735
57621.70689922,57621.7024569465,2007.9984419847387,131170,0.23568999767303467,1812.8985952471812,1097.0770093474114,2192.7200658898846,2209.0671520152855,2153.1766913638085,2209.0671520152855,23.928634643554688,57621.7024569465,0,0.005579525604844093,2209.0671520152855
57621.727332919996,57621.722889373435,2001.246847545102,131171,0.17203731834888458,1790.4427222521776,1097.1353389493238,2193.378970750945,2210.238005831,2152.6958590687464,2210.238005831,23.934722900390625,57621.722889373435,0,0.003518861485645175,2210.238005831
57621.74776642,57621.74332160092,1997.6424205552921,131172,0.14241920411586761,1780.2380306864486,1097.1623961790617,2192.118093777037,2208.522465006185,2151.4071893350283,2208.522465006185,23.940824508666992,57621.74332160092,0,0.003045677440240979,2208.522465006185
57621.76820012,57621.76375402892,1990.9808761337626,131173,0.1010669693350792,1765.446157846654,1097.1964794361354,2190.110752176657,2207.2384878885014,2148.31961220131,2207.2384878885014,23.946937561035156,57621.76375402892,0,0.003658178262412548,2207.2384878885014
57621.78863372,57621.78418635744,1991.5938262907675,131174,0.033842459321022034,1758.1078825483828,1097.2659761925722,2191.7320926510392,2208.702942336225,2150.1687141768807,2208.702942336225,23.953065872192383,57621.78418635744,0,-0.00019819125009234995,2208.702942336225
57621.80906732,57621.80461868649,1990.0540621788066,131175,-0.003707385854795575,1753.5454738123344,1097.304934217074,2191.511560792113,2208.6775555695685,2149.5952841561357,2208.6775555695685,23.959205627441406,57621.80461868649,0,0.00016779144061729312,2208.6775555695685
57621.82950092,57621.825051016065,1988.9822396537995,131176,-0.04483775794506073,1753.2258601503886,1097.3483944094455,2186.5635933103667,2203.1800930604604,2145.963540422198,2203.1800930604604,23.96535873413086,57621.825051016065,0,-0.0009699466754682362,2203.1800930604604
57621.849934519996,57621.84548334616,1990.9103649533458,131177,-0.09801226109266281,1755.4268113286994,1097.3981554506954,2188.7217472020134,2206.5698444949335,2147.6017610186645,2206.5698444949335,23.971525192260742,57621.84548334616,0,-0.004293656442314386,2206.5698444949335
57621.87036812,57621.865915676775,1997.1244496741056,131178,-0.1464000642299652,1765.8355171213725,1097.4445087151057,2191.091989287836,2207.4925142187694,2151.164377495231,2207.4925142187694,23.977705001831055,57621.865915676775,0,-0.00771699845790863,2207.4925142187694
57621.89080172,57621.88634800792,1996.5708618463743,131179,-0.2006920874118805,1769.5045227218232,1097.4896771522313,2189.527865100624,2205.7189918286376,2149.79263674193,2205.7189918286376,23.983896255493164,57621.88634800792,0,-0.012716840021312237,2205.7189918286376
57621.91123532,57621.906780339596,1989.108704038859,131180,-0.2607409358024597,1769.0133089620936,1097.5361035588974,2179.0000371830474,2195.1161645560437,2139.9764920948974,2195.1161645560437,23.990100860595703,57621.906780339596,0,-0.016915375366806984,2195.1161645560437
57621.93166882,57621.92721257179,1983.0381552345584,131181,-0.29872751235961914,1765.029789209385,1097.561175983828,2175.005868690417,2191.4492574974292,2135.2722034144786,2191.4492574974292,23.99631690979004,57621.92721257179,0,-0.0173755194991827,2191.4492574974292
57621.95210252,57621.94764500451,1980.4901092325206,131182,-0.3458808958530426,1765.6444250293043,1097.5967030236234,2173.73331500456,2190.0625767551537,2133.8435910109342,2190.0625767551537,24.002546310424805,57621.94764500451,0,-0.021411938592791557,2190.0625767551537
57621.972536119996,57621.96807733775,1972.9639979553401,131183,-0.40173017978668213,1760.4808987000463,1097.639247303978,2169.282795829068,2185.6963200733526,2128.852020943743,2185.6963200733526,24.0087890625,57621.96807733775,0,-0.02797222137451172,2185.6963200733526
57621.99296982,57621.988509771516,1964.510569432654,131184,-0.43722543120384216,1752.9690209914284,1097.6718748078238,2162.7357930827125,2179.161607012891,2122.1639142399004,2179.161607012891,24.01504135131836,57621.988509771516,0,-0.030637845396995544,2179.161607012891
57622.01340332,57622.00894200582,1956.9662384020403,131185,-0.4863286316394806,1744.5710017477945,1097.7071228929474,2159.5706039327365,2176.7117561749387,2117.9133386900876,2176.7117561749387,24.02130889892578,57622.00894200582,0,-0.03609481826424599,2176.7117561749387
57622.03383692,57622.029374340644,1951.6370724070066,131186,-0.536378026008606,1738.1296671708637,1097.7499492012046,2156.8508488974726,2173.7853689534695,2115.078396813123,2173.7853689534695,24.027585983276367,57622.029374340644,0,-0.03855562210083008,2173.7853689534695
57622.05427062,57622.04980677598,1946.9988897048586,131187,-0.5735783576965332,1731.6095031978248,1097.7778929455235,2154.9070884145594,2172.00130088264,2112.6613382206315,2172.00130088264,24.033876419067383,57622.04980677598,0,-0.041784558445215225,2172.00130088264
57622.07470412,57622.07023901187,1940.7049444778445,131188,-0.631716787815094,1722.6004903729186,1097.8230714712947,2149.813192831087,2166.6665731265166,2107.935339363352,2166.6665731265166,24.040178298950195,57622.07023901187,0,-0.04390614479780197,2166.6665731265166
57622.095137719996,57622.09067134826,1938.001981918446,131189,-0.6808437705039978,1718.7407910728684,1097.865325195792,2144.392744500985,2160.6865919479183,2103.7521188481664,2160.6865919479183,24.046493530273438,57622.09067134826,0,-0.04571593925356865,2160.6865919479183
